Fecha,CODIGO CAFE,Variedad,PROCESO,PRODUCTOR,CLIENTE,SUM de GC,SUM de RC,MAX de B Moist,MAX de B Density,MAX de AWx1000,MAX de %LW
16/05/2026,BO-LA-ISLA-1,BOURBON,LAVADO,ISAIAS,PANtIWAYTA,4,"3,48","11,00%",0,0,"13,00%"
16/05/2026,CA-LA-ALYA-1,BLEND,LAVADO,ALFONSO,PANtIWAYTA,5,"4,3","10,00%",0,0,"14,00%"
16/05/2026,GE-LA-ABVI-ISSAC1,GEISHA,LAVADO,ABEL VILCAS,ISSAC,"24,145","20,5","12,70%",0,0,"15,25%"
16/05/2026,GE-LA-ABVI-LUIS1,GEISHA,LAVADO,ABEL VILCAS,LUIS,"16,345","14,06","12,50%",0,0,"14,02%"
16/05/2026,GE-LA-ISLA-2,GEISHA,LAVADO,ISAIAS,PANtIWAYTA,4,"3,465","11,00%",0,0,"13,38%"
20/05/2026,CA-LA-ALYA-1,BLEND,LAVADO,ALFONSO,PANTIWAYTA,6,"5,145","10,70%",0,0,"14,25%"
20/05/2026,CA-LA-ALYA-MIROSHNIK1,CATIMOR,LAVADO,ALFONSO,MIROSHNIK,"20,275","17,495","11,30%",0,0,"13,79%"
23/05/2026,CA-LA-ALYA-1,BLEND,LAVADO,ALFONSO,PANTIWAYTA,2,"1,708","10,00%",0,0,"14,60%"
23/05/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO,PANTIWAYTA,"1,795","1,56","0,00%",0,0,"13,09%"
23/05/2026,GE-LA-ISLA-1,OBATA,LAVADO,ISAIAS,PANTIWAYTA,"1,245","1,081","9,30%",0,0,"13,17%"
23/05/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS ,MARIO,"3,77","3,265","0,00%",0,0,"13,69%"
25/05/2026,,GEISHA,LAVADO,ANSELMO,YANETH,5,"4,345","10,80%",0,0,"13,10%"
25/05/2026,BL-LA-NN-1,SUPERBLEND,LAVADO,NN,PANTIWAYTA,"5,305","4,57","10,60%",0,0,"13,85%"
29/05/2026,GE-LA-ISLA-1,OBATA,LAVADO,ISAIAS,LUIS HELADOS,3,"2,6","10,40%",0,0,"13,33%"
