OS,FECHA,CODIGO,VARIEDAD,PROCESO,PRODUCTOR,CLIENTE,GC,RC,M,D,AW,%,Nº,VARIEDAD,PROCESO,PRODUCTOR,CODIGO PRODUCTOR,ORDEN,CLIENTE,FERMENTACION,DETALLE,PRECIO ,CODIGO LOTE,PC0,PC,HC0,HC,GC0,GC,RC0,RC
P,1/01/2026,BL-LA-TECC-1,BLEND,LAVADO,TEODOSIO,PANTIWAYTA,"6,55","5,82","9,10%",0,0,"11,15%",,,,,,,,,,,,,,,,,,,
P,1/01/2026,GE-NA-ISLA-1,GEISHA,NATURAL,ISAIAS LAGOS,PANTIWAYTA,"3,003","2,62","0,00%",0,0,"12,75%",,,,,,,,,,,,,,,,,,,
P,1/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,4,"3,485","11,00%",0,0,"12,88%",,,,,,,,,,,,,,,,,,,
P,6/01/2026,OB-LA-ISLA-1,OBATA,LAVADO,ISAIAS LAGOS,PANTIWAYTA,4,"3,48","10,60%",0,0,"13,00%",,,,,,,,,,,,,,,,,,,
P,15/01/2026,GE-LA-ALYA-2,GEISHA,LAVADO,ALFONSO YARANGA,PANTIWAYTA,"4,72","4,1","10,00%",0,0,"13,14%",,,,,,,,,,,,,,,,,,,
P,22/01/2026,BL-LA-TECC-1,BLEND ,LAVADO,TEODOSIO,PANTIWAYTA,"2,87","2,55","9,40%",0,0,"11,15%",,,,,,,,,,,,,,,,,,,
41,26/01/2026,BL-LA-NN-GEORGE1,BLEND,LAVADO,NN,GEORGE,"4,2","3,595","12,30%",0,0,"14,40%",,,,,,,,,,,,,,,,,,,
42,6/04/2026,BL-LA-NN-ANDER1,NN,LAVADO,NN,ANDER,"1,937","1,667","12,90%",0,0,"14,06%",,,,,,,,,,,,,,,,,,,
43,6/04/2026,CA-LA-NN-RIMACHI1,CATURRA,LAVADO,NN,RIMACHI ,"5,534","4,878","9,20%",0,0,"12,33%",,,,,,,,,,,,,,,,,,,
44,8/04/2026,BL-LA-NN-GEORGE1, BLEND,LAVADO,NN,GEORGE,"4,215","3,66","9,70%",0,0,"13,17%",,,,,,,,,,,,,,,,,,,
